Arquivo;Capítulo;Nome do Capítulo;Total de Chunks;Total de Páginas Úteis;Páginas Lidas (Min-Max);Páginas Ignoradas (Buracos);Total de Seções Únicas;Tipos Identificados;Chunks com Alertas
Annex_01_Annex I.json;Annex I;The multiple viewpoints for the Amazon: geographic limits and meanings;20;5;1 até 5;Nenhuma;1;TableChunk, CompositeElement;0
Annex_02_Annex II.json;Annex II;Definition of Indigenous peoples and local communities for the Science Panel for the Amazon;32;5;3 até 7;Nenhuma;7;CompositeElement;0
Part_III_Cap_25_A Pan-Amazonian sustainable development vision.json;25;A Pan-Amazonian sustainable development vision;193;30;5 até 36;11, 30;48;TableChunk, CompositeElement;3
Part_III_Cap_26_Sustainable Development Goals (SDGs) and the Amazon.json;26;Sustainable Development Goals (SDGs) and the Amazon;155;27;4 até 33;9, 16, 24;30;CompositeElement;3
Part_III_Cap_27_Conservation measures to counter the main threats to Amazonian biodiversity.json;27;Conservation measures to counter the main threats to Amazonian biodiversity;92;13;5 até 17;Nenhuma;22;CompositeElement;1
Part_III_Cap_28_Restoration options for the Amazon.json;28;Restoration options for the Amazon;178;26;5 até 30;Nenhuma;27;CompositeElement;3
Part_III_Cap_29_Restoration priorities and benefits within landscapes and catchments and across the Amazon Basin.json;29;Restoration priorities and benefits within landscapes and catchments and across the Amazon Basin;167;23;5 até 28;10;32;CompositeElement;1
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon;316;51;4 até 54;Nenhuma;42;CompositeElement;6
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;Strengthening land and natural resource governance and management: Protected areas, Indigenous lands, and local communities territories;178;28;5 até 32;Nenhuma;36;TableChunk, CompositeElement;5
Part_III_Cap_32_Milestones and challenges in the construction and expansion of participatory intercultural education in the Amazon.json;32;Milestones and challenges in the construction and expansion of participatory intercultural education in the Amazon;144;27;4 até 31;26;24;CompositeElement;0
Part_III_Cap_33_Connecting and sharing diverse knowledges to support sustainable pathways in the Amazon.json;33;Connecting and sharing diverse knowledges to support sustainable pathways in the Amazon;207;41;4 até 44;Nenhuma;17;TableChunk, CompositeElement;1
Part_III_Cap_34_Boosting relations between the Amazon forest and its globalizing cities.json;34;Boosting relations between the Amazon forest and its globalizing cities;168;30;5 até 35;8;34;CompositeElement;2
Part_II_Cap_14_Amazon in Motion Changing Politics, Development Strategies, Peoples, Landscapes, and Livelihoods.json;14;Amazon in Motion: Changing Politics, Development Strategies, Peoples, Landscapes, and Livelihoods;411;62;5 até 66;Nenhuma;39;CompositeElement;2
Part_II_Cap_15_Complex, Diverse, and Changing Agribusiness and Livelihood Systems in the Amazon.json;15;Complex, Diverse, and Changing Agribusiness and Livelihood Systems in the Amazon;328;56;5 até 61;36;70;TableChunk, CompositeElement;3
